Comment No , Profanity %
         1 , 3.85%
         2 , 9.09%
         3 , 0.00%
         4 , 0.00%
         5 , 12.50%
         6 , 14.47%
         7 , 20.00%
         8 , 66.67%
         9 , 7.89%
        10 , 25.00%
        11 , 22.86%
        12 , 27.59%
        13 , 16.67%
        14 , 4.55%
        15 , 10.00%
        16 , 0.00%
        17 , 25.00%
        18 , 12.20%
        19 , 25.00%
        20 , 11.11%
        21 , 25.00%
        22 , 6.67%
        23 , 26.09%
        24 , 6.90%
        25 , 66.67%
        26 , 5.56%
        27 , 16.67%
        28 , 27.27%
        29 , 0.00%
        30 , 17.65%
        31 , 0.00%
        32 , 9.09%
        33 , 6.12%
        34 , 8.33%
        35 , 0.00%
        36 , 16.67%
        37 , 6.90%
        38 , 17.65%
        39 , 10.00%
        40 , 7.14%
        41 , 19.51%
        42 , 9.76%
        43 , 7.41%
        44 , 7.14%
        45 , 50.00%
        46 , 25.00%
        47 , 4.76%
        48 , 11.11%
        49 , 9.09%
        50 , 7.14%
        51 , 0.00%
        52 , 34.78%
        53 , 22.22%
        54 , 33.33%
        55 , 9.09%
        56 , 0.00%
        57 , 55.56%
        58 , 10.00%
        59 , 60.00%
        60 , 100.00%
        61 , 11.76%
        62 , 50.00%
        63 , 66.67%
        64 , 20.00%
        65 , 33.33%
        66 , 0.00%
        67 , 50.00%
        68 , 18.42%
        69 , 71.43%
        70 , 25.00%
        71 , 12.50%
        72 , 100.00%
        73 , 75.00%
        74 , 7.69%
        75 , 18.18%
        76 , 31.25%
        77 , 5.88%
        78 , 20.00%
        79 , 26.67%
        80 , 8.70%
        81 , 28.12%
        82 , 7.14%
        83 , 18.18%
        84 , 18.18%
        85 , 5.41%
        86 , 16.67%
        87 , 12.50%
        88 , 22.22%
        89 , 14.29%
        90 , 66.67%
        91 , 33.33%
        92 , 33.33%
        93 , 0.00%
        94 , 22.22%
        95 , 50.00%
        96 , 50.00%
        97 , 27.27%
        98 , 14.58%
        99 , 75.00%
       100 , 26.92%
       101 , 50.00%
       102 , 100.00%
